"ID";"ANYO_PROCESO";"COD_CARRERA";"COD_UNIVERSIDAD";"AUTOEFICACIA";"MOT_APRENDIZAJE";"MOT_DESEMPENO";"AUTORREGULACION"
"L9241581760";2025;50219;50;"3";"3";"1";"2"
"L3141801759";2025;45014;45;"1";"2";"1";"2"
"L5641881757";2025;56224;56;"";"2";"1";"1"
"L7542371755";2025;45008;45;"1";"1";"1";"2"
"L4342751759";2025;50802;50;"2";"3";"1";"3"
"L0243101757";2025;55006;55;"2";"2";"1";"2"
"L0843661755";2025;55054;55;"3";"2";"2";"2"
"L5344071753";2025;12096;12;"2";"3";"1";"3"
"L4445121759";2025;56318;56;"1";"2";"2";"3"
"L0345171753";2025;50802;50;"3";"2";"1";"2"
"L6748101759";2025;14071;14;"3";"3";"1";"2"
"L7248511752";2025;32164;32;"2";"2";"2";"2"
"L9148561754";2025;49109;49;"2";"2";"1";"2"
"L0549091751";2025;39104;39;"1";"2";"2";"2"
"L8849461757";2025;55042;55;"2";"1";"1";"1"
"L7850181762";2025;47005;47;"2";"1";"1";"2"
"L8651081758";2025;47002;47;"2";"3";"1";"3"
"L6651941751";2025;55062;55;"3";"3";"2";"2"
"L3153381760";2025;16041;16;"1";"2";"1";"1"
"L8654391759";2025;55062;55;"3";"3";"2";"1"
"L7054561759";2025;50929;50;"3";"1";"1";"1"
"L0255241754";2025;41026;41;"2";"2";"2";"2"
"L3655351752";2025;55055;55;"2";"1";"1";"1"
"L4955681759";2025;22073;22;"1";"3";"1";"2"
"L3957001751";2025;41102;41;"3";"2";"2";"2"
"L5057281753";2025;36010;36;"3";"2";"2";"2"
"L9257381760";2025;50128;50;"3";"3";"";"1"
"L2057411759";2025;36010;36;"3";"3";"2";"3"
"L5658141762";2025;18072;18;"1";"2";"2";"1"
"L3058301759";2025;30055;30;"1";"2";"2";"1"
"L1658411760";2025;49306;49;"2";"3";"2";"2"
"L1658551752";2025;49317;49;"2";"2";"2";"2"
"L8059491762";2025;55033;55;"2";"2";"1";"2"
"L1359641760";2025;15102;15;"3";"2";"2";"3"
"L5059821752";2025;50219;50;"2";"3";"1";"1"
"L2560101756";2025;41215;41;"2";"2";"1";"2"
"L2860631751";2025;17835;17;"2";"3";"1";"3"
"L2561111751";2025;32014;32;"2";"3";"1";"2"
"L9261471757";2025;41214;41;"1";"2";"2";"2"
"L6361801753";2025;50229;50;"3";"3";"1";"2"
"L0563441751";2025;14201;14;"3";"2";"1";"2"
"L3663721759";2025;36050;36;"1";"2";"2";"1"
"L7263981759";2025;39129;39;"2";"3";"1";"3"
